,Region,Department,Commune_Code_INSEE,City,Yearly_Growth
0,PROVENCE-ALPES-COTE D'AZUR,HAUTES-ALPES,05061,GAP,3.4929140357591733
1,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06004,ANTIBES,3.2423993233536392
2,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06027,CAGNES SUR MER,1.6718490134890618
4,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06030,LE CANNET,2.2235300484498177
5,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06069,GRASSE,4.110102386325232
6,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06079,MANDELIEU LA NAPOULE,0.9112887672492453
7,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06083,MENTON,4.14096723232809
10,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06123,SAINT LAURENT DU VAR,3.5365243613790165
11,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06155,VALLAURIS,-0.2802491197254864
13,OCCITANIE,AUDE,11262,NARBONNE,5.030608397028429
16,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13004,ARLES,5.484075975650002
17,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13005,AUBAGNE,4.94102461550209
18,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13028,LA CIOTAT,5.392718653809894
19,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13103,SALON DE PROVENCE,3.430785773552465
20,NORMANDIE,CALVADOS,14118,CAEN,0.048963995165658414
21,NOUVELLE-AQUITAINE,CHARENTE-MARITIME,17300,LA ROCHELLE,1.2706820113859485
23,NOUVELLE-AQUITAINE,CORREZE,19031,BRIVE,6.68257266329185
25,BOURGOGNE-FRANCHE-COMTE,COTE-D'OR,21231,DIJON,2.803525515318541
26,BOURGOGNE-FRANCHE-COMTE,DOUBS,25056,BESANCON,4.995602264530312
28,AUVERGNE-RHONE-ALPES,DROME,26362,VALENCE,4.249341427178544
29,CENTRE-VAL DE LOIRE,EURE-ET-LOIR,28085,CHARTRES,5.2442674560325155
30,BRETAGNE,FINISTERE,29019,BREST,4.903593613009227
32,CORSE,CORSE-DU-SUD,2A004,AJACCIO,2.2366307632818394
33,CORSE,HAUTE-CORSE,2B033,BASTIA,5.262992830013049
34,OCCITANIE,GARD,30189,NIMES,0.31514415673712604
36,OCCITANIE,HAUTE-GARONNE,31557,TOURNEFEUILLE,4.826300006080326
38,NOUVELLE-AQUITAINE,GIRONDE,33069,LE BOUSCAT,2.077603977697502
40,NOUVELLE-AQUITAINE,GIRONDE,33192,GRADIGNAN,4.182227354525749
42,NOUVELLE-AQUITAINE,GIRONDE,33281,MERIGNAC,0.8616674624706189
43,NOUVELLE-AQUITAINE,GIRONDE,33318,PESSAC,4.411449186434329
44,NOUVELLE-AQUITAINE,GIRONDE,33449,SAINT-MEDARD-EN-JALLES,4.54294603243282
45,NOUVELLE-AQUITAINE,GIRONDE,33522,TALENCE,4.584459942789638
46,NOUVELLE-AQUITAINE,GIRONDE,33529,LA TESTE DE BUCH,0.8714121285226085
47,OCCITANIE,HERAULT,34003,AGDE,5.719763203679675
48,OCCITANIE,HERAULT,34032,BEZIERS,6.165205441296591
49,OCCITANIE,HERAULT,34057,CASTELNAU LE LEZ,2.573319054286098
50,OCCITANIE,HERAULT,34172,MONTPELLIER,2.6068390088220594
51,OCCITANIE,HERAULT,34301,SETE,6.114196770649087
53,BRETAGNE,ILLE-ET-VILAINE,35288,SAINT MALO,-0.6820339036783762
54,CENTRE-VAL DE LOIRE,INDRE-ET-LOIRE,37261,TOURS,0.4181467937240657
55,AUVERGNE-RHONE-ALPES,ISERE,38185,GRENOBLE,2.478220766302275
56,AUVERGNE-RHONE-ALPES,LOIRE,42218,SAINT ETIENNE,5.725333372899849
59,PAYS DE LA LOIRE,LOIRE-ATLANTIQUE,44114,ORVAULT,4.823605121841186
61,PAYS DE LA LOIRE,LOIRE-ATLANTIQUE,44215,VERTOU,4.954183706576943
63,CENTRE-VAL DE LOIRE,LOIRET,45234,ORLEANS,0.7723809481210853
64,PAYS DE LA LOIRE,MAINE-ET-LOIRE,49007,ANGERS,-2.3283844762149486
65,GRAND-EST,MARNE,51454,REIMS,0.6586506980034912
66,PAYS DE LA LOIRE,MAYENNE,53130,LAVAL,4.767097199795147
67,GRAND-EST,MEURTHE-ET-MOSELLE,54395,NANCY,2.315567231177036
68,BRETAGNE,MORBIHAN,56260,VANNES,-1.3962630177502722
69,GRAND-EST,MOSELLE,57463,METZ,3.484085328565718
70,GRAND-EST,MOSELLE,57672,THIONVILLE,1.532562879541739
71,LES-HAUTS-DE-FRANCE,NORD,59009,VILLENEUVE D'ASCQ,4.204681603214997
72,LES-HAUTS-DE-FRANCE,NORD,59163,CROIX,5.192641157536162
73,LES-HAUTS-DE-FRANCE,NORD,59183,DUNKERQUE,5.666309486387178
74,LES-HAUTS-DE-FRANCE,NORD,59328,LAMBERSART,3.703052003418244
75,LES-HAUTS-DE-FRANCE,NORD,59350,LILLE,0.9741099763923922
76,LES-HAUTS-DE-FRANCE,NORD,59368,LA MADELEINE,5.95209594308634
77,LES-HAUTS-DE-FRANCE,NORD,59378,MARCQ EN BAROEUL,1.4682754347088922
78,LES-HAUTS-DE-FRANCE,NORD,59646,WASQUEHAL,4.874563163666932
79,LES-HAUTS-DE-FRANCE,OISE,60057,BEAUVAIS,7.156249958742578
80,LES-HAUTS-DE-FRANCE,OISE,60159,COMPIEGNE,0.33627356108511197
82,AUVERGNE-RHONE-ALPES,PUY-DE-DOME,63113,CLERMONT-FERRAND,4.739577934489705
83,NOUVELLE-AQUITAINE,PYRENEES-ATLANTIQUES,64024,ANGLET,0.9387819014198208
84,NOUVELLE-AQUITAINE,PYRENEES-ATLANTIQUES,64102,BAYONNE,2.222623796322849
85,NOUVELLE-AQUITAINE,PYRENEES-ATLANTIQUES,64122,BIARRITZ,0.9591975845526157
86,NOUVELLE-AQUITAINE,PYRENEES-ATLANTIQUES,64445,PAU,6.946329509284119
87,OCCITANIE,PYRENEES-ORIENTALES,66136,PERPIGNAN,3.1577474571374964
89,GRAND-EST,HAUT-RHIN,68066,COLMAR,5.92102179502211
