,Commune_Code_INSEE,Number_of_Taxpayers,Average_Assets_in_Euro,Average_Tax_in_Euro,Source_File,Year,total_tax_per_city,total_tax_per_city_lag1,mean,median,min,max,mean_distance_to_10_nearest,to_be_predicted,predicted,Prophet
0,05061,57.0,2235849.0,9388.0,ificom-2019.xls,2019,535116.0,,,,,,110.36511501255654,False,False,
1,05061,57.0,2224957.0,8488.0,ificom-2020.xlsx,2020,483816.0,535116.0,535116.0,535116.0,535116.0,535116.0,110.36511501255654,False,False,
2,05061,65.0,2268207.0,8156.0,ificom-2021.xlsx,2021,530140.0,483816.0,509466.0,509466.0,483816.0,535116.0,110.36511501255654,False,False,
3,05061,71.0,2264449.0,8403.0,ificom-2022.xlsx,2022,596613.0,530140.0,516357.3333333333,530140.0,483816.0,535116.0,110.36511501255654,False,False,
4,05061,,,,,2023,645581.125,596613.0,536421.25,532628.0,483816.0,596613.0,,False,True,
5,05061,,,,,2024,642568.25,645581.125,558253.225,535116.0,483816.0,645581.125,,False,True,
6,05061,,,,,2025,660328.5,642568.25,572305.7291666666,565864.5,483816.0,645581.125,,False,True,
7,05061,,,,,2026,690480.8125,660328.5,584880.4107142857,596613.0,483816.0,660328.5,,False,True,
1444,05061,,,,,2027,707006.5625,690480.8125,598080.4609375,619590.625,483816.0,690480.8125,,False,True,
8,06004,418.0,2187869.0,8929.0,ificom-2019.xls,2019,3732322.0,,,,,,12.740409861936735,False,False,
9,06004,407.0,2179041.0,8780.0,ificom-2020.xlsx,2020,3573460.0,3732322.0,3732322.0,3732322.0,3732322.0,3732322.0,12.740409861936735,False,False,
10,06004,430.0,2245773.0,9240.0,ificom-2021.xlsx,2021,3973200.0,3573460.0,3652891.0,3652891.0,3573460.0,3732322.0,12.740409861936735,False,False,
11,06004,432.0,2291801.0,9827.0,ificom-2022.xlsx,2022,4245264.0,3973200.0,3759660.6666666665,3732322.0,3573460.0,3973200.0,12.740409861936735,False,False,
12,06004,,,,,2023,4422134.0,4245264.0,3881061.5,3852761.0,3573460.0,4245264.0,,False,True,
13,06004,,,,,2024,4549403.5,4422134.0,3989276.0,3973200.0,3573460.0,4422134.0,,False,True,
14,06004,,,,,2025,4740228.0,4549403.5,4082630.5833333335,4109232.0,3573460.0,4549403.5,,False,True,
15,06004,,,,,2026,4885468.5,4740228.0,4176573.0714285714,4245264.0,3573460.0,4740228.0,,False,True,
1445,06004,,,,,2027,4978742.0,4885468.5,4265185.0,4333699.0,3573460.0,4885468.5,,False,True,
16,06027,153.0,2004050.0,7723.0,ificom-2019.xls,2019,1181619.0,,,,,,15.516042418138213,False,False,
17,06027,154.0,2058262.0,8122.0,ificom-2020.xlsx,2020,1250788.0,1181619.0,1181619.0,1181619.0,1181619.0,1181619.0,15.516042418138213,False,False,
18,06027,160.0,2040286.0,7844.0,ificom-2021.xlsx,2021,1255040.0,1250788.0,1216203.5,1216203.5,1181619.0,1250788.0,15.516042418138213,False,False,
19,06027,161.0,2266062.0,8512.0,ificom-2022.xlsx,2022,1370432.0,1255040.0,1229149.0,1250788.0,1181619.0,1255040.0,15.516042418138213,False,False,
20,06027,,,,,2023,1415047.0,1370432.0,1264469.75,1252914.0,1181619.0,1370432.0,,False,True,
21,06027,,,,,2024,1450515.375,1415047.0,1294585.2,1255040.0,1181619.0,1415047.0,,False,True,
22,06027,,,,,2025,1464883.125,1450515.375,1320573.5625,1312736.0,1181619.0,1450515.375,,False,True,
23,06027,,,,,2026,1505028.25,1464883.125,1341189.2142857143,1370432.0,1181619.0,1464883.125,,False,True,
1446,06027,,,,,2027,1487963.625,1505028.25,1361669.09375,1392739.5,1181619.0,1505028.25,,False,True,
24,06029,626.0,2770439.0,12642.0,ificom-2019.xls,2019,7913892.0,,,,,,11.761780797328402,False,False,
25,06029,658.0,2901833.0,12827.0,ificom-2020.xlsx,2020,8440166.0,7913892.0,7913892.0,7913892.0,7913892.0,7913892.0,11.761780797328402,False,False,
26,06029,664.0,2827815.0,12414.0,ificom-2021.xlsx,2021,8242896.0,8440166.0,8177029.0,8177029.0,7913892.0,8440166.0,11.761780797328402,False,False,
27,06029,707.0,3044836.0,12816.0,ificom-2022.xlsx,2022,9060912.0,8242896.0,8198984.666666667,8242896.0,7913892.0,8440166.0,11.761780797328402,False,False,
28,06029,,,,,2023,11585486.851271065,9060912.0,8414466.5,8341531.0,7913892.0,9060912.0,,False,True,True
29,06029,,,,,2024,12820384.094558923,11585486.851271065,7802255.0,8242896.0,5353409.0,9060912.0,,False,True,True
30,06029,,,,,2025,11936096.984664643,12820384.094558923,7394114.0,8078394.0,5353409.0,9060912.0,,False,True,True
31,06029,,,,,2026,13033687.293287965,11936096.984664643,7102584.714285715,7913892.0,5353409.0,9060912.0,,False,True,True
1447,06029,,,,,2027,14200218.63948961,13033687.293287965,6883937.75,6633650.5,5353409.0,9060912.0,,False,True,True
32,06030,162.0,2317615.0,9959.0,ificom-2019.xls,2019,1613358.0,,,,,,11.21083780557615,False,False,
33,06030,158.0,2306599.0,9993.0,ificom-2020.xlsx,2020,1578894.0,1613358.0,1613358.0,1613358.0,1613358.0,1613358.0,11.21083780557615,False,False,
34,06030,156.0,2485858.0,11856.0,ificom-2021.xlsx,2021,1849536.0,1578894.0,1596126.0,1596126.0,1578894.0,1613358.0,11.21083780557615,False,False,
35,06030,158.0,2478350.0,11687.0,ificom-2022.xlsx,2022,1846546.0,1849536.0,1680596.0,1613358.0,1578894.0,1849536.0,11.21083780557615,False,False,
36,06030,,,,,2023,1889481.375,1846546.0,1722083.5,1729952.0,1578894.0,1849536.0,,False,True,
37,06030,,,,,2024,1973910.375,1889481.375,1755563.075,1846546.0,1578894.0,1889481.375,,False,True,
38,06030,,,,,2025,2038630.75,1973910.375,1791954.2916666667,1848041.0,1578894.0,1973910.375,,False,True,
39,06030,,,,,2026,2051814.125,2038630.75,1827193.7857142857,1849536.0,1578894.0,2038630.75,,False,True,
1448,06030,,,,,2027,2059993.5,2051814.125,1855271.328125,1869508.6875,1578894.0,2051814.125,,False,True,
40,06069,124.0,2160182.0,9162.0,ificom-2019.xls,2019,1136088.0,,,,,,16.085739483885796,False,False,
41,06069,126.0,2806244.0,18665.0,ificom-2020.xlsx,2020,2351790.0,1136088.0,1136088.0,1136088.0,1136088.0,1136088.0,16.085739483885796,False,False,
42,06069,125.0,2938801.0,10202.0,ificom-2021.xlsx,2021,1275250.0,2351790.0,1743939.0,1743939.0,1136088.0,2351790.0,16.085739483885796,False,False,
43,06069,123.0,2224910.0,9436.0,ificom-2022.xlsx,2022,1160628.0,1275250.0,1587709.3333333333,1275250.0,1136088.0,2351790.0,16.085739483885796,False,False,
44,06069,,,,,2023,1363906.375,1160628.0,1480939.0,1217939.0,1136088.0,2351790.0,,False,True,
45,06069,,,,,2024,1388967.75,1363906.375,1457532.475,1275250.0,1136088.0,2351790.0,,False,True,
46,06069,,,,,2025,1397441.375,1388967.75,1446105.0208333333,1319578.1875,1136088.0,2351790.0,,False,True,
47,06069,,,,,2026,1405664.75,1397441.375,1439153.0714285714,1363906.375,1136088.0,2351790.0,,False,True,
1449,06069,,,,,2027,1405664.75,1405664.75,1434967.03125,1376437.0625,1136088.0,2351790.0,,False,True,
