,Region,Department,Commune_Code_INSEE,City,latitude,longitude
0,PROVENCE-ALPES-COTE D'AZUR,HAUTES-ALPES,05061,GAP,44.5798600596,6.06486052138
1,PROVENCE-ALPES-COTE D'AZUR,HAUTES-ALPES,05061,GAP,44.5798600596,6.06486052138
2,PROVENCE-ALPES-COTE D'AZUR,HAUTES-ALPES,05061,GAP,44.5798600596,6.06486052138
3,PROVENCE-ALPES-COTE D'AZUR,HAUTES-ALPES,05061,GAP,44.5798600596,6.06486052138
4,,,05061,,,
5,,,05061,,,
6,,,05061,,,
7,,,05061,,,
1444,,,05061,,,
8,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06004,ANTIBES,43.587465146,7.10635418256
9,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06004,ANTIBES,43.587465146,7.10635418256
10,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06004,ANTIBES,43.587465146,7.10635418256
11,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06004,ANTIBES,43.587465146,7.10635418256
12,,,06004,,,
13,,,06004,,,
14,,,06004,,,
15,,,06004,,,
1445,,,06004,,,
16,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06027,CAGNES SUR MER,43.6715162078,7.15275703379
17,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06027,CAGNES SUR MER,43.6715162078,7.15275703379
18,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06027,CAGNES SUR MER,43.6715162078,7.15275703379
19,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06027,CAGNES SUR MER,43.6715162078,7.15275703379
20,,,06027,,,
21,,,06027,,,
22,,,06027,,,
23,,,06027,,,
1446,,,06027,,,
24,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06029,CANNES,43.5526202843,7.00427592728
25,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06029,CANNES,43.5526202843,7.00427592728
26,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06029,CANNES,43.5526202843,7.00427592728
27,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06029,CANNES,43.5526202843,7.00427592728
28,,,06029,,,
